1790,29.3
1791,29.3
1792,29.3
1793,29.3
1794,29.3
1795,33.7
1796,33.7
1797,33.7
1798,33.7
1799,33.7
1800,38.6
1801,38.6
1802,38.6
1803,38.6
1804,38.6
1805,43.9
1806,43.9
1807,43.9
1808,43.9
1809,43.9
1810,49.2
1811,49.2
1812,49.2
1813,49.2
1814,49.2
1815,49.2
1816,46.8
1817,46.8
1818,46.8
1819,46.8
1820,43.5
1821,43.5
1822,43.5
1823,43.5
1824,41.9
1825,41.9
1826,41.9
1827,41.9
1828,41.9
1829,41.9
1830,39.7
1831,39.8
1832,40.1
1833,40
1834,40.6
1835,40
1836,41
1837,41.7
1838,42
1839,42.6
1840,42.9
1841,43
1842,43.4
1843,43.1
1844,43.6
1845,44.2
1846,44.9
1847,45.4
1848,44.9
1849,44.6
1850,44.7
1851,45
1852,45.9
1853,49.2
1854,52.4
1855,53.3
1856,54.6
1857,54
1858,53.2
1859,53.5
1860,54.8
1861,55.4
1862,55.8
1863,56.3
1864,58.2
1865,59.7
1866,61.9
1867,61.7
1868,61.6
1869,61.7
1870,63.5
1871,65.1
1872,69.9
1873,74.6
1874,75.4
1875,73.7
1876,74
1877,73.7
1878,72
1879,70.2
1880,70.9
1881,71.2
1882,71.9
1883,72.4
1884,72.1
1885,71.5
1886,71
1887,71.4
1888,72.4
1889,73.9
1890,76.5
1891,77.5
1892,77.9
1893,77.7
1894,78.3
1895,78.4
1896,79.4
1897,80.8
1898,82.4
1899,83.8
1900,86.4
1901,87.4
1902,87.5
1903,87.9
1904,88
1905,88.5
1906,89.7
1907,91.7
1908,92.3
1909,92.4
1910,93.3
1911,94.8
1912,96.9
1913,100
1914,101
1915,117
1916,133
1917,170
1918,211
1919,241
1920,278
1921,261
1922,210.3
1923,195.6
1924,198.4
1925,200
1926,195.5
1927,199.1
1928,196.7
1929,197.1
1930,195.8
1931,192.1
1932,188.8
1933,187.6
1934,189.6
1935,192.4
1936,196.8
1937,201.6
1938,208.6
1939,238.6
1940,270.8
1941,296.8
1942,318.8
1943,355.8
1944,376.3
1945,371.5
1946,381
1947,416.4
1948,455.8
1949,474.7
1950,496.7
