date,nominalval,normval,logval
1904,0.001,1.8383493639466336e-05,-4.735571950830193
1905,2.0,0.0365592641869613,-1.4370025537138686
1906,0.004,7.214035408129487e-05,-4.141821730396154
1907,0.004,7.056695486469084e-05,-4.151398623022083
1908,0.001,1.752705785777939e-05,-4.756290979705937
1910,20.0,0.34678401720751073,-0.4599409267625431
1911,120000.0,2047.7815699658702,3.3112836300295343
1912,0.125,0.0020868775029321946,-2.680503042722733
1913,2.0,0.03235494880546075,-1.4900592830160433
1914,4.0,0.06406920555536783,-1.1933506611347047
1915,0.2,0.00276538023978297,-2.5582451447622048
1916,0.025,0.000304087864712977,-3.5170009109750726
1917,7000.0,66.61312989359566,1.8235598399559585
1918,0.2,0.0015334098959934005,-2.8143417383137357
1919,2.0,0.013425289960772096,-1.8720763255909116
1921,0.001,6.198266054685967e-06,-5.207729786018305
1922,1.0,0.007692569853889859,-2.1139285513663455
1923,0.06,0.0004962415460960238,-3.3043068787479632
1924,2000.0,16.3079379059782,1.212399049165797
1925,1.0,0.008088737201365187,-2.0921192743440056
1926,0.02,0.00016549845936297057,-3.781206044747929
1929,1000.0,8.207749570132103,0.9142240970405324
1930,5.0,0.041311221661722096,-1.3839319618111248
1932,0.4,0.003427431017527622,-2.4650312773141123
1933,0.1,0.0008623387208278451,-3.06432211272307
1934,1.0,0.008532423208191127,-2.0689276116820716
1935,200000.0,1681.650145813968,3.2257356492821625
1936,0.2,0.0016440522767002415,-2.7840843771113657
1937,1600000.0,12839.265398992362,4.108540176202412
1938,5200.0,40.327357092137085,1.6055997608642627
1939,20.0,0.1356033059742697,-0.8677297223503663
1940,20.0,0.11947913148249906,-0.92270794302915
1941,1.2,0.006540757844769692,-2.184371929239389
1943,200000.0,909.3577516992904,2.9587347732360505
1944,1000.0,4.299089663228906,0.6333765030001112
1946,50000.0,212.30281368412565,2.326955749980375
1948,0.07,0.0002484473910028798,-3.6047655595101245
1949,0.02,6.81587293142211e-05,-4.166478514734403
1950,2.25,0.007328229797894774,-2.1350009205638854
1751,100.0,5.521322321750981,0.7420431009658661
1752,10.5,0.579738843783853,-0.23676759996419583
1754,1000.0,55.213223217509814,1.7420431009658661
1758,500.0,27.606611608754907,1.4410131053018849
1760,10.0,0.5521322321750981,-0.2579568990341339
1761,1.05,0.057973884378385306,-1.2367675999641958
1763,0.5,0.027606611608754907,-1.5589868946981151
1765,14.5,0.8005917366538923,-0.09658889679915897
1766,200.0,11.042644643501962,1.0430730966298474
1767,311.85,17.218243660380438,1.2359888493530167
1771,5.25,0.2898694218919265,-0.537797595628177
1772,100.0,5.521322321750981,0.7420431009658661
1774,5.25,0.2898694218919265,-0.537797595628177
1775,0.008,0.0004417057857400785,-3.35486691204219
1776,1000.0,55.213223217509814,1.7420431009658661
1777,0.52,0.028710876073105105,-1.5419535553993347
1780,10.5,0.579738843783853,-0.23676759996419583
1783,0.125,0.006901652902188727,-2.1610468860260776
1785,2500.0,138.03305804377453,2.1399831096379036
1786,18.0,0.9938380179151767,-0.00268439393082777
1787,5000.0,276.06611608754906,2.441013105301885
1789,0.024,0.0013251173572202356,-2.877745657322528
1793,1.05,0.057973884378385306,-1.2367675999641958
1795,250.0,12.001093770571494,1.0792208291206746
1798,0.001,4.8004375082285973e-05,-4.318719179551363
1799,1.05,0.05040459383640027,-1.297529880481425
1800,7.35,0.30804258253903694,-0.5113892442675845
1801,0.008,0.00033528444357990413,-3.4745865963598357
1803,0.001,4.1910555447488016e-05,-4.3776765833517794
1804,21.0,0.8801216643972484,-0.0554572886178601
1808,6000.0,221.10443375030124,2.344597451461498
1809,0.05,0.0018425369479191773,-2.734583794586127
1810,25.0,0.8220261383501207,-0.0851143727753471
1811,4.2,0.13810039124282028,-0.8598050910494842
1812,4000.0,131.5241821360193,2.1190056098805776
1813,100.0,3.288104553400483,0.5169456185526153
1814,2000.0,65.76209106800965,1.8179756142165964
1815,50000.0,1644.0522767002415,3.2159156228886343
1816,0.05,0.0017283626498643566,-2.76236512741813
1817,1.05,0.03629561564715149,-1.4401458326842103
1818,0.05,0.0017283626498643566,-2.76236512741813
1820,50.0,1.8594798164057902,0.26939146870135705
1821,0.125,0.0046486995410144755,-2.3326685226266055
1822,1.05,0.03904907614452159,-1.4083892365647237
1825,1575.0,60.81031547565714,1.7839772564792997
1826,0.35,0.01351340343903492,-1.869235257296044
1828,0.024,0.0009266333786766802,-3.0330920599347135
1829,500.0,19.304862055764172,1.285666702689699
1830,26.25,1.0696692772586203,0.02924952229883611
1831,0.2,0.008129384121975064,-2.089942355089731
1832,0.1,0.004034282893448971,-2.394233651300207
1833,100.0,4.044368600682594,0.6068507299920132
1835,0.001,4.0443686006825936e-05,-4.393149270007987
1836,1.05,0.04143011737284609,-1.3826838363298217
1837,20.0,0.7758980528887468,-0.11019533798980084
1838,10.5,0.40443686006825935,-0.39314927000798683
1839,0.15,0.005696293803778301,-2.2444076187270623
1840,8000.0,301.67784433996036,2.479543416127195
1841,4000.0,150.48813397888722,2.1775022570683515
1843,8.0,0.30027794715044775,-0.5224765618488125
1844,1.0,0.03710429908883113,-1.4305757679486104
