s/w_ratio,snippets,words,volid,date,author,title
0.0001481089658820418,14,94525,uc2.ark:/13960/t0qr4q764,1912,"Burnham, Clara Louise,",The Inner Flame
0.00014801259452622514,11,74318,mdp.49015002153477,1904,"Trollope, Anthony,",[The parliamentary novels]
0.00014794582906566518,13,87870,nyp.33433076074867,1912,"Tuttle, Margaretta Muhlenberg Perkins,",His worldly goods
0.00014792170011340664,12,81124,mdp.39015013793693,1902,"Doyle, Arthur Conan,",The works of A. Conan Doyle
0.00014766847879590028,27,182842,mdp.39015022402070,1905,"Trollope, Anthony,",Barchester towers
0.00014760147601476016,2,13550,nc01.ark:/13960/t0ft9p380,1908,"Page, Thomas Nelson,",Tommy Trot's visit to Santa Claus
0.00014748295752490823,18,122048,00010651,1941,"Seton, Anya",My Theodosia
0.00014707180045298113,10,67994,nyp.33433082365895,1920,"France, Anatole,",Little Pierre
0.00014704028903919674,7,47606,inu.30000007097086,1919,"O'Donnell, Elliott,",Haunted places in England
0.0001470293390362895,11,74815,nyp.33433084130024,1907,"Ayres, Daisy Fitzhugh.",The conquest
0.0001460312360813978,20,136957,uc2.ark:/13960/t76t0hr4v,1914,"Hyde, Mary Ellen Burke,",The sins of the fathers
0.00014540899074975112,13,89403,uc2.ark:/13960/t6xw49495,1908,"Nicholson, Meredith,",The little brown jug at Kildare
0.0001450002788466901,13,89655,00010451,1934,"Queen, Ellery",The adventures of Ellery Queen
0.00014495454639580873,14,96582,00010331,1930,"Hill, Grace Livingston",Ladybird
0.00014494854326714017,4,27596,nyp.33433074879598,1916,"Locke, William John,",Viviette
0.00014460479509500535,15,103731,uc2.ark:/13960/t18k7573q,1911,"Lincoln, Joseph Crosby,",Keziah Coffin
0.0001443986452781643,11,76178,00010782,1945,"Lockridge, Richard",Death in the mind
0.00014427175552495246,11,76245,00010267,1927,"Cather, Willa",Death comes for the archbishop
0.00014390371533228675,11,76440,00010409,1933,"Hill, Grace Livingston",The ransom
0.0001436643999616895,9,62646,00010215,1924,"Abbott, Jane",Laughing last
0.0001435544071202986,9,62694,nyp.33433074959762,1907,"De Sélincourt, Hugh,",A boy's marriage
0.00014334862385321102,16,111616,uc1.b4103593,1917,"Oppenheim, E. Phillips",Mysterious Mr. Sabin
0.00014315572479743464,10,69854,mdp.39015063973054,1911,"Walpole, Hugh,",The gods and Mr. Perrin;
0.00014302059496567506,12,83904,nyp.33433075817688,1917,"Dumas, Alexandre,",The Neapolitan lovers
0.00014301445876178083,10,69923,00010652,1941,"Short, Luke",Gunman's chance
0.00014277810497760168,8,56031,00010778,1945,"Hughes, Dorothy B. 1904-  (Dorothy Belle)",Dread journey
0.00014258590800957576,19,133253,uc2.ark:/13960/t6445m34p,1910,"De Morgan, William,",An affair of dishonor
0.000142294739837784,6,42166,uc2.ark:/13960/t74t6wc44,1906,"Croker, B. M.","""To let"""
0.00014208750222011722,12,84455,00010489,1936,"Flint, Margaret",The old Ashburn place
0.000141711640430331,24,169358,mdp.39015030763232,1917,"Meredith, George,",The ordeal of Richard Feverel;
0.00014165509816698303,15,105891,00010249,1925,"Young, Gordon",Seibert of the island
0.00014020875525782832,9,64190,00010633,1941,"Daly, Elizabeth",Murders in volume 2
0.00013972725240330873,5,35784,nyp.33433067272298,1905,"Gorky, Maksim,","The outcasts, and other stories"
0.00013966913932772588,9,64438,00010920,1948,"Van Vogt, A. E. 1912-  (Alfred Elton)",The world of Null-A
0.0001391610905590797,12,86231,nyp.33433074848288,1906,"Burnham, Clara Louise,",The opened shutters
0.00013915517348011628,9,64676,nyp.33433076049554,1912,"Preston, Anna.",The record of a silent life
0.00013900058578818295,14,100719,00010224,1924,"Hill, Grace Livingston",Re-creations
0.00013880748943520774,9,64838,mdp.39015013148062,1901,"Bacheller, Irving,",D'ri and I;
0.00013877966415321274,9,64851,00010220,1924,"Drago, Harry Sinclair",Following the grass
0.00013839872673171406,8,57804,00010237,1925,"Cline, Leonard",God head
0.000138264777048047,14,101255,uc2.ark:/13960/t6b27st7j,1911,"Hope, Anthony,",Mrs. Maxon protests
0.0001380452788514633,13,94172,uc2.ark:/13960/t47p8wx1b,1902,"Tynan, Katharine,",A girl of Galway
0.0001375156424043235,10,72719,njp.32101068149846,1914,"Chesterton, G. K.",The wisdom of Father Brown
0.00013732491073880802,16,116512,00010655,1941,"Thomas, Newton George",The long winter ends
0.0001371898936778324,6,43735,uc1.31158007468969,1907,"Marguerite,","The Heptameron of the tales of Margaret, Queen of Navarre"
0.00013663068725235688,7,51233,00010342,1931,"Armer, Laura Adams",Waterless mountain
0.00013601741022850925,13,95576,inu.32000000358061,1914,"Beresford, J. D.",The house in Demetrius road
0.00013600353609193838,12,88233,nyp.33433074927017,1917,"Benson, E. F.",The tortoise
0.00013589385974323214,19,139815,00010631,1941,"Buck, Pearl S.",Dragon seed
0.0001355993491231242,6,44248,uc2.ark:/13960/t4hm5410r,1901,"Wells, Carolyn,",Patty Fairfield
0.00013541694878530997,10,73846,00010290,1928,"Hill, Grace Livingston",Crimson roses
0.0001352488578985333,9,66544,00010733,1944,"Brackett, Leigh",No good from a corpse
