s/w_ratio,snippets,words,volid,date,author,title
0.0026080476900149033,112,42944,nnc1.0113413392,1797,<blank>,Memoirs of Mrs. Margaret Leeson
0.002570694087403599,68,26452,nyp.33433074930284,1771,"Bridges, Thomas,",The adventures of a bank-note
0.0022457258765575198,62,27608,nyp.33433074930276,1771,"Bridges, Thomas,",The adventures of a bank-note
0.0022335322763721577,61,27311,njp.32101079239479,1777,"Pratt,",Liberal opinions
0.0021541241053436174,155,71955,nyp.33433076095706,1765,"Swift, Jonathan,","The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin"
0.002063947386832715,177,85758,mdp.39015078562975,1753,"Swift, Jonathan,",The works of the Reverend Dr. J. Swift
0.0020008084074373484,99,49480,nyp.33433074907555,1786,"Bellamy, George Anne,","An apology for the life of George Anne Bellamy, late of Covent-Garden theatre"
0.0018583881490988822,139,74796,mdp.39015078563247,1772,"Swift, Jonathan,",The works of the Reverend Dr. Jonathan Swift
0.001835477383726498,230,125308,nnc1.1002346672,1755,"Drake, Peter,",The memoirs of Capt. Peter Drake
0.0018213643674898287,154,84552,mdp.39015057619382,1767,"Swift, Jonathan,",Letters written by Jonathan Swift
0.001798384723539221,110,61166,nyp.33433074948534,1765,<blank>,The Parasite
0.0017788661460980456,154,86572,uc2.ark:/13960/t4rj4h44p,1769,"Swift, Jonathan,","Letters, written by the late Jonathan Swift, D.D. Dean of St. Patrick's, Dublin, and several of his friends"
0.0017769731107087775,53,29826,nnc1.0113413406,1797,<blank>,Memoirs of Mrs. Margaret Leeson
0.001759637361691547,184,104567,uc2.ark:/13960/t4jm24s6p,1781,"Swift, Jonathan,",The works of Jonathan Swift
0.0017332507975810676,182,105005,mdp.39015078563163,1765,"Swift, Jonathan,",The works of Dr. Jonathan Swift
0.0014720088320529924,32,21739,nyp.33433069322661,1793,"Twiss, Richard,","A trip to Paris in July and August, 1792"
0.0014372118090903647,24,16699,hvd.hn37mg,1780,"Pratt,","Shenstone-Green, or, The new Paradise lost"
0.0013816214945029102,47,34018,uc2.ark:/13960/t0tq5sd9m,1795,"Trenck, Friedrich,",The life and surprising adventures of Frederick Baron Trenck
0.0013283325519612438,17,12798,mdp.39015068355562,1756,<blank>,The devil upon crutches in England;
0.0013218534528955735,37,27991,njp.32101037021548,1777,"Pratt,",Liberal opinions
0.0013067909570065774,60,45914,nyp.33433074907530,1786,"Bellamy, George Anne,","An apology for the life of George Anne Bellamy, late of Covent-Garden theatre"
0.0012922579900773046,56,43335,njp.32101067498715,1797,"Sterne, Laurence,",The letters of the late Rev. Mr. Laurence Sterne
0.0012596044841919638,60,47634,mdp.39015063931714,1751,"Hill, John,",The adventures of Mr. George Edwards
0.0012387318329551726,101,81535,uc2.ark:/13960/t0tq5v85q,1797,"Arnould,",Systeme maritime et politique des Europe͡ens
0.0012354364350795311,72,58279,hvd.hn6dgn,1792,"Brooke, Henry,",The fool of quality;
0.0012072591323311784,31,25678,nyp.33433074948575,1799,<blank>,"Frederic Latimer; or, The history of a young man of fashion"
0.001112759643916914,33,29656,njp.32101037021563,1777,"Pratt,",Liberal opinions
0.0011094674556213018,42,37856,mdp.39015027523177,1760,<blank>,The Theatre of love
0.0011088864931464654,36,32465,mdp.39015078568303,1792,"Dibdin, Charles,",Hannah Hewit;
0.001099487952753432,35,31833,inu.39000003249773,1792,"Bage, Robert,",Man as he is
0.0010830253169587854,109,100644,mdp.39015063952736,1763,"Shebbeare, John,",Lydia;
0.0010710182462563044,55,51353,hvd.hn6dgq,1792,"Brooke, Henry,",The fool of quality;
0.0010543333099037042,30,28454,nyp.33433082297064,1799,"Salzmann, Christian Gotthilf,","Elements of morality, for the use of children;"
0.0010441568433489958,38,36393,mdp.39015064575254,1783,"Pratt,",Liberal opinions
0.001033646991730824,29,28056,nyp.33433082297098,1792,"Salzmann, Christian Gotthilf,","Elements of morality, for the use of children"
0.0010080403216128646,84,83330,nyp.33433074911367,1784,"Smollett, T.",The adventures of Peregrine Pickle
0.0010070493454179255,64,63552,mdp.39015024230586,1785,"Genlis, Stéphanie Félicité,",Tales of the castle;
0.0009940357852882703,19,19114,uc2.ark:/13960/t28912w8n,1798,"Gilpin, William,","Moral contrasts: or, the power of religion exemplified under different characters"
0.0009848760810026848,73,74121,yale.39002088372348,1795,"Radcliffe, Ann Ward,",A journey made in the summer of 1794
0.0009747493501670999,63,64632,njp.32101068989878,1798,"Genlis, Stéphanie Félicité,",Tales of the castle
